source,targets,weights,n_cites,cited_by,author,journal,title,topic_id,cited_by_other_articles,year
birth,"['maternal', 'et', 'education', 'smoking', 'ethnicity', 'risk', 'income', 'children', 'gender', 'year', 'weight', 'control', 'case', 'ratio']","[605, 578, 551, 412, 406, 405, 377, 334, 319, 292, 266, 249, 247, 244]",10,"13,2,36,26,51,21,54,17,10,9",,,,4,,
risk,"['studies', 'study', 'smoking', 'use']","[547, 355, 282, 244]",2,"25,26",,,,6,,
postnatal,"['random', 'risk']","[490, 295]",2,"12,21",,,,6,,
log,['random'],[488],1,12,,,,3,,
ozone,['random'],[488],1,12,,,,3,,
studies,"['study', 'use']","[478, 272]",0,,,,,6,,
smoking,"['studies', 'study']","[447, 311]",1,25,,,,6,,
pooled,['random'],[429],1,12,,,,3,,
comparisons,"['random', 'fixed']","[427, 245]",2,"12,1",,,,3,,
models,['random'],[427],1,12,,,,3,,
pollution,['random'],[427],1,12,,,,3,,
effect,['random'],[370],1,12,,,,3,,
methods,['random'],[368],1,12,,,,3,,
environmental,['random'],[366],1,12,,,,6,,
fig,['random'],[366],1,12,,,,,,
chun,['random'],[366],1,12,,,,,,
education,"['maternal', 'et', 'ethnicity', 'income']","[364, 362, 267, 247]",4,"13,2,51,54",,,,1,,
art,"['children', 'risk']","[351, 234]",2,"17,21",,,,,,
smoke,['smoking'],[341],1,26,,,,2,,
reported,['studies'],[339],1,25,,,,6,,
association,"['studies', 'exposure', 'random']","[326, 322, 264]",3,"25,15,12",,,,6,,
cerebral,['children'],[324],1,17,,,,4,,
data,"['studies', 'exposure', 'smoking']","[320, 287, 275]",3,"25,15,26",,,,6,,
number,['random'],[309],1,12,,,,6,,
indicates,['random'],[305],1,12,,,,3,,
born,['random'],[305],1,12,,,,4,,
goodrich,['random'],[305],1,12,,,,,,
orlow,['random'],[305],1,12,,,,,,
charge,['random'],[305],1,12,,,,,,
bold,['random'],[305],1,12,,,,,,
orup,['random'],[305],1,12,,,,,,
ethnicity,['maternal'],[269],1,13,,,,1,,
pregnancy,"['smoking', 'studies']","[261, 251]",2,"26,25",,,,6,,
significant,['smoking'],[252],1,26,,,,4,,
income,['maternal'],[247],1,13,,,,0,,
pre,['random'],[246],1,12,,,,6,,
pollutant,['random'],[244],1,12,,,,3,,
preconception,['random'],[244],1,12,,,,3,,
guxens,['random'],[244],1,12,,,,,,
