source,targets,weights,n_cites,cited_by,author,journal,title,topic_id,cited_by_other_articles,year
control,"['random', 'et', 'fixed', 'model', 'effects', 'frequentist', 'study', 'exposure', 'postnatal', 'ﬁxed', 'maternal']","[854, 530, 490, 362, 267, 252, 214, 203, 188, 182, 170]",9,"12,2,1,4,6,7,15,22,13",Fr\'ed\'eric Dutheil and Aur\'elie Comptour and Roxane Morlon and Martial Mermillod and Bruno Pereira and Julien S. Baker and Morteza Charkhabi and Maëlys Clinchamps and Nicolas Bourdel,Environmental Pollution,Autism spectrum disorder and air pollution: A systematic review and meta-analysis,0,"2,3,6,",2021
air,"['random', 'bayesian', 'fixed', 'et', 'al', 'model', 'effects', 'frequentist', 'case', 'control', 'ﬁxed', 'study']","[793, 624, 455, 427, 410, 329, 247, 234, 227, 214, 169, 168]",10,"12,0,1,2,3,4,6,7,9,10",Fr\'ed\'eric Dutheil and Aur\'elie Comptour and Roxane Morlon and Martial Mermillod and Bruno Pereira and Julien S. Baker and Morteza Charkhabi and Maëlys Clinchamps and Nicolas Bourdel,Environmental Pollution,Autism spectrum disorder and air pollution: A systematic review and meta-analysis,0,"3,",2021
random,"['ﬁxed', 'study', 'trimester', 'table', 'studies', 'units', 'volk', 'statistically', 'signiﬁcance', 'toxics', 'scale']","[793, 750, 553, 427, 406, 366, 366, 305, 305, 244, 244]",1,25,Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,1,"3,",2019
maternal,"['smoking', 'studies', 'pregnancy', 'study', 'risk', 'smoke', 'year']","[770, 294, 240, 228, 225, 198, 193]",5,"26,25,52,21,38",Fr\'ed\'eric Dutheil and Aur\'elie Comptour and Roxane Morlon and Martial Mermillod and Bruno Pereira and Julien S. Baker and Morteza Charkhabi and Maëlys Clinchamps and Nicolas Bourdel,Environmental Pollution,Autism spectrum disorder and air pollution: A systematic review and meta-analysis,0,"1,2,",2021
age,"['birth', 'et', 'al', 'maternal', 'education', 'ethnicity', 'income', 'smoking', 'exposure', 'asd', 'gender', 'risk', 'year', 'control', 'case', 'postnatal', 'antibiotic', 'ratio', 'parity', 'gestational', 'random', 'usa', 'pregnancy', 'study', 'odds', 'crude', 'mgm', 'weight']","[699, 542, 515, 471, 461, 341, 312, 281, 278, 270, 269, 251, 251, 242, 237, 229, 212, 206, 202, 196, 193, 192, 184, 181, 177, 173, 168, 168]",18,"20,2,3,13,36,51,54,26,15,5,61,21,10,9,22,8,12,52",Fr\'ed\'eric Dutheil and Aur\'elie Comptour and Roxane Morlon and Martial Mermillod and Bruno Pereira and Julien S. Baker and Morteza Charkhabi and Maëlys Clinchamps and Nicolas Bourdel,Environmental Pollution,Autism spectrum disorder and air pollution: A systematic review and meta-analysis,0,"1,3,6,",2021
exposure,"['studies', 'risk', 'random', 'study', 'postnatal', 'smoking', 'use', 'model', 'maternal', 'prenatal', 'fixed', 'reported', 'results', 'metaanalysis', 'pregnancy', 'increased', 'pre', 'used']","[695, 675, 516, 515, 488, 472, 398, 343, 297, 296, 294, 287, 240, 233, 212, 193, 186, 164]",15,"25,21,12,22,26,4,13,65,1,39,83,16,52,84,55",Fr\'ed\'eric Dutheil and Aur\'elie Comptour and Roxane Morlon and Martial Mermillod and Bruno Pereira and Julien S. Baker and Morteza Charkhabi and Maëlys Clinchamps and Nicolas Bourdel,Environmental Pollution,Autism spectrum disorder and air pollution: A systematic review and meta-analysis,0,"1,2,6,",2021
metaanalysis,"['random', 'model', 'studies', 'study']","[679, 303, 223, 218]",3,"12,4,25",Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,1,"2,3,4,6,",2019
children,"['risk', 'random', 'studies', 'study', 'exposure', 'fixed', 'model', 'higher', 'et', 'palsy', 'table', 'embryo', 'disability', 'transfer', 'reported', 'effects', 'supplemental', 'intellectual', 'metaanalysis', 'frequentist', 'postnatal']","[657, 628, 585, 405, 374, 359, 316, 285, 279, 270, 259, 243, 243, 243, 226, 217, 216, 216, 212, 180, 173]",15,"21,12,25,15,1,4,62,2,82,85,39,6,16,7,22",Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,1,"3,4,6,",2019
adjusted,"['birth', 'age', 'maternal', 'education', 'et', 'al', 'ethnicity', 'income', 'smoking', 'gender', 'year', 'ratio', 'parity', 'control', 'gestational', 'usa', 'case']","[612, 519, 426, 402, 402, 381, 297, 273, 265, 234, 213, 174, 174, 169, 168, 168, 168]",12,"20,14,13,36,2,3,51,54,26,61,10,9",Fr\'ed\'eric Dutheil and Aur\'elie Comptour and Roxane Morlon and Martial Mermillod and Bruno Pereira and Julien S. Baker and Morteza Charkhabi and Maëlys Clinchamps and Nicolas Bourdel,Environmental Pollution,Autism spectrum disorder and air pollution: A systematic review and meta-analysis,0,"1,2,",2021
combined,"['random', 'fixed', 'et', 'model', 'effects', 'frequentist']","[610, 350, 270, 250, 190, 180]",6,"12,1,2,4,6,7",HeeKyoung Chun and Cheryl Leung and Shi Wu Wen and Judy McDonald and Hwashin H. Shin,Environmental Pollution,Maternal exposure to air pollution and risk of autism in children: A systematic review and meta-analysis,3,,2020
birth,"['maternal', 'et', 'education', 'smoking', 'ethnicity', 'risk', 'income', 'children', 'gender', 'year', 'weight', 'control', 'case', 'ratio', 'usa', 'gestational', 'parity', 'pregnancy', 'odds', 'mgm', 'crude', 'study', 'body', 'postnatal', 'studies', 'nox', 'child', 'sex', 'ppb', 'month']","[605, 578, 551, 412, 406, 405, 377, 334, 319, 292, 266, 249, 247, 244, 232, 232, 232, 230, 203, 203, 203, 195, 188, 182, 177, 176, 175, 174, 174, 174]",14,"13,2,36,26,51,21,54,17,61,10,9,52,22,25",Fr\'ed\'eric Dutheil and Aur\'elie Comptour and Roxane Morlon and Martial Mermillod and Bruno Pereira and Julien S. Baker and Morteza Charkhabi and Maëlys Clinchamps and Nicolas Bourdel,Environmental Pollution,Autism spectrum disorder and air pollution: A systematic review and meta-analysis,0,"2,3,4,",2021
risk,"['studies', 'study', 'smoking', 'use']","[547, 355, 282, 244]",2,"25,26",Fr\'ed\'eric Dutheil and Aur\'elie Comptour and Roxane Morlon and Martial Mermillod and Bruno Pereira and Julien S. Baker and Morteza Charkhabi and Maëlys Clinchamps and Nicolas Bourdel,Environmental Pollution,Autism spectrum disorder and air pollution: A systematic review and meta-analysis,0,"1,2,4,6,",2021
postnatal,"['random', 'risk', 'study', 'studies']","[490, 295, 221, 180]",3,"12,21,25",Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,1,"3,6,",2019
log,"['random', 'model']","[488, 200]",2,"12,4",HeeKyoung Chun and Cheryl Leung and Shi Wu Wen and Judy McDonald and Hwashin H. Shin,Environmental Pollution,Maternal exposure to air pollution and risk of autism in children: A systematic review and meta-analysis,3,,2020
ozone,['random'],[488],1,12,HeeKyoung Chun and Cheryl Leung and Shi Wu Wen and Judy McDonald and Hwashin H. Shin,Environmental Pollution,Maternal exposure to air pollution and risk of autism in children: A systematic review and meta-analysis,3,,2020
studies,"['study', 'use']","[478, 272]",0,,Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,1,"2,3,4,6,",2019
smoking,"['studies', 'study', 'subgroup']","[447, 311, 220]",1,25,Fr\'ed\'eric Dutheil and Aur\'elie Comptour and Roxane Morlon and Martial Mermillod and Bruno Pereira and Julien S. Baker and Morteza Charkhabi and Maëlys Clinchamps and Nicolas Bourdel,Environmental Pollution,Autism spectrum disorder and air pollution: A systematic review and meta-analysis,0,"1,2,6,",2021
pooled,['random'],[429],1,12,Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,1,"3,",2019
comparisons,"['random', 'fixed', 'et', 'model']","[427, 245, 189, 175]",4,"12,1,2,4",HeeKyoung Chun and Cheryl Leung and Shi Wu Wen and Judy McDonald and Hwashin H. Shin,Environmental Pollution,Maternal exposure to air pollution and risk of autism in children: A systematic review and meta-analysis,3,,2020
models,['random'],[427],1,12,Fr\'ed\'eric Dutheil and Aur\'elie Comptour and Roxane Morlon and Martial Mermillod and Bruno Pereira and Julien S. Baker and Morteza Charkhabi and Maëlys Clinchamps and Nicolas Bourdel,Environmental Pollution,Autism spectrum disorder and air pollution: A systematic review and meta-analysis,0,"3,",2021
pollution,['random'],[427],1,12,HeeKyoung Chun and Cheryl Leung and Shi Wu Wen and Judy McDonald and Hwashin H. Shin,Environmental Pollution,Maternal exposure to air pollution and risk of autism in children: A systematic review and meta-analysis,3,,2020
effect,"['random', 'fixed']","[370, 212]",2,"12,1",Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,1,"2,3,",2019
methods,['random'],[368],1,12,HeeKyoung Chun and Cheryl Leung and Shi Wu Wen and Judy McDonald and Hwashin H. Shin,Environmental Pollution,Maternal exposure to air pollution and risk of autism in children: A systematic review and meta-analysis,3,,2020
environmental,"['random', 'fixed']","[366, 210]",2,"12,1",Silvia De Rubeis and Joseph D. Buxbaum,Human Molecular Genetics,Genetics and genomics of autism spectrum disorder: embracing complexity,2,"6,",2015
fig,"['random', 'fixed']","[366, 210]",2,"12,1",,,,,,
chun,"['random', 'fixed']","[366, 210]",2,"12,1",,,,,,
education,"['maternal', 'et', 'ethnicity', 'income', 'smoking', 'gender', 'year']","[364, 362, 267, 247, 210, 210, 191]",6,"13,2,51,54,26,61",Fr\'ed\'eric Dutheil and Aur\'elie Comptour and Roxane Morlon and Martial Mermillod and Bruno Pereira and Julien S. Baker and Morteza Charkhabi and Maëlys Clinchamps and Nicolas Bourdel,Environmental Pollution,Autism spectrum disorder and air pollution: A systematic review and meta-analysis,0,"1,",2021
art,"['children', 'risk']","[351, 234]",2,"17,21",,,,,,
smoke,['smoking'],[341],1,26,Silvia De Rubeis and Joseph D. Buxbaum,Human Molecular Genetics,Genetics and genomics of autism spectrum disorder: embracing complexity,2,,2015
reported,"['studies', 'risk', 'study', 'smoking']","[339, 221, 187, 174]",3,"25,21,26",Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,1,"2,3,4,6,",2019
association,"['studies', 'exposure', 'random', 'study', 'smoking', 'bayesian', 'model']","[326, 322, 264, 207, 205, 192, 166]",6,"25,15,12,26,0,4",Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,1,"2,6,",2019
cerebral,"['children', 'risk']","[324, 216]",2,"17,21",Tono Djuwantono and Jenifer Kiem Aviani and Wiryawan Permadi and Tri Hanggono Achmad and Danny Halim,Journal of Neurodevelopmental Disorders,Risk of neurodevelopmental disorders in children born from different ART treatments: a systematic review and meta-analysis,4,,2020
data,"['studies', 'exposure', 'smoking', 'maternal', 'study']","[320, 287, 275, 193, 171]",4,"25,15,26,13",Fr\'ed\'eric Dutheil and Aur\'elie Comptour and Roxane Morlon and Martial Mermillod and Bruno Pereira and Julien S. Baker and Morteza Charkhabi and Maëlys Clinchamps and Nicolas Bourdel,Environmental Pollution,Autism spectrum disorder and air pollution: A systematic review and meta-analysis,0,"1,2,6,",2021
number,['random'],[309],1,12,Fr\'ed\'eric Dutheil and Aur\'elie Comptour and Roxane Morlon and Martial Mermillod and Bruno Pereira and Julien S. Baker and Morteza Charkhabi and Maëlys Clinchamps and Nicolas Bourdel,Environmental Pollution,Autism spectrum disorder and air pollution: A systematic review and meta-analysis,0,"1,2,4,6,",2021
indicates,['random'],[305],1,12,HeeKyoung Chun and Cheryl Leung and Shi Wu Wen and Judy McDonald and Hwashin H. Shin,Environmental Pollution,Maternal exposure to air pollution and risk of autism in children: A systematic review and meta-analysis,3,,2020
born,"['random', 'fixed']","[305, 175]",2,"12,1",Fr\'ed\'eric Dutheil and Aur\'elie Comptour and Roxane Morlon and Martial Mermillod and Bruno Pereira and Julien S. Baker and Morteza Charkhabi and Maëlys Clinchamps and Nicolas Bourdel,Environmental Pollution,Autism spectrum disorder and air pollution: A systematic review and meta-analysis,0,"2,3,4,",2021
goodrich,['random'],[305],1,12,,,,,,
orlow,['random'],[305],1,12,,,,,,
charge,"['random', 'fixed']","[305, 175]",2,"12,1",,,,,,
bold,"['random', 'fixed']","[305, 175]",2,"12,1",,,,,,
orup,['random'],[305],1,12,,,,,,
ethnicity,"['maternal', 'income']","[269, 182]",2,"13,54",Fr\'ed\'eric Dutheil and Aur\'elie Comptour and Roxane Morlon and Martial Mermillod and Bruno Pereira and Julien S. Baker and Morteza Charkhabi and Maëlys Clinchamps and Nicolas Bourdel,Environmental Pollution,Autism spectrum disorder and air pollution: A systematic review and meta-analysis,0,"1,",2021
pregnancy,"['smoking', 'studies', 'risk', 'study']","[261, 251, 180, 169]",3,"26,25,21",Fr\'ed\'eric Dutheil and Aur\'elie Comptour and Roxane Morlon and Martial Mermillod and Bruno Pereira and Julien S. Baker and Morteza Charkhabi and Maëlys Clinchamps and Nicolas Bourdel,Environmental Pollution,Autism spectrum disorder and air pollution: A systematic review and meta-analysis,0,"1,2,3,4,6,",2021
significant,"['smoking', 'studies']","[252, 195]",2,"26,25",Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,1,"2,4,",2019
income,['maternal'],[247],1,13,Fr\'ed\'eric Dutheil and Aur\'elie Comptour and Roxane Morlon and Martial Mermillod and Bruno Pereira and Julien S. Baker and Morteza Charkhabi and Maëlys Clinchamps and Nicolas Bourdel,Environmental Pollution,Autism spectrum disorder and air pollution: A systematic review and meta-analysis,0,,2021
pre,['random'],[246],1,12,Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,1,"3,6,",2019
pollutant,['random'],[244],1,12,HeeKyoung Chun and Cheryl Leung and Shi Wu Wen and Judy McDonald and Hwashin H. Shin,Environmental Pollution,Maternal exposure to air pollution and risk of autism in children: A systematic review and meta-analysis,3,,2020
preconception,['random'],[244],1,12,HeeKyoung Chun and Cheryl Leung and Shi Wu Wen and Judy McDonald and Hwashin H. Shin,Environmental Pollution,Maternal exposure to air pollution and risk of autism in children: A systematic review and meta-analysis,3,,2020
guxens,['random'],[244],1,12,,,,,,
offspring,['smoking'],[218],1,26,Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,1,"2,",2019
analysis,"['asd', 'smoking', 'studies']","[214, 191, 184]",3,"5,26,25",Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,1,"2,",2019
gender,['maternal'],[212],1,13,Fr\'ed\'eric Dutheil and Aur\'elie Comptour and Roxane Morlon and Martial Mermillod and Bruno Pereira and Julien S. Baker and Morteza Charkhabi and Maëlys Clinchamps and Nicolas Bourdel,Environmental Pollution,Autism spectrum disorder and air pollution: A systematic review and meta-analysis,0,"1,",2021
higher,['risk'],[210],1,21,Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,1,"2,4,6,",2019
early,['exposure'],[210],1,15,Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,1,"6,",2019
autism,"['studies', 'exposure']","[204, 176]",2,"25,15",Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,1,"4,6,",2019
prenatal,['risk'],[194],1,21,Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,1,"3,4,6,",2019
analyses,['smoking'],[190],1,26,Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,1,"2,6,",2019
ci,['studies'],[188],1,25,,,,,,
prevalence,['smoking'],[187],1,26,Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,1,"2,4,",2019
assessed,['random'],[185],1,12,Fr\'ed\'eric Dutheil and Aur\'elie Comptour and Roxane Morlon and Martial Mermillod and Bruno Pereira and Julien S. Baker and Morteza Charkhabi and Maëlys Clinchamps and Nicolas Bourdel,Environmental Pollution,Autism spectrum disorder and air pollution: A systematic review and meta-analysis,0,"1,2,3,",2021
assessment,['random'],[185],1,12,Fr\'ed\'eric Dutheil and Aur\'elie Comptour and Roxane Morlon and Martial Mermillod and Bruno Pereira and Julien S. Baker and Morteza Charkhabi and Maëlys Clinchamps and Nicolas Bourdel,Environmental Pollution,Autism spectrum disorder and air pollution: A systematic review and meta-analysis,0,"2,4,5,",2021
cohort,['random'],[185],1,12,Silvia De Rubeis and Joseph D. Buxbaum,Human Molecular Genetics,Genetics and genomics of autism spectrum disorder: embracing complexity,2,"6,",2015
kalkbrenner,['random'],[183],1,12,,,,,,
epa,['random'],[183],1,12,,,,,,
national,['random'],[183],1,12,,,,,,
pm,['random'],[183],1,12,,,,,,
addm,['random'],[183],1,12,,,,,,
network,['random'],[183],1,12,,,,,,
months,['random'],[183],1,12,HeeKyoung Chun and Cheryl Leung and Shi Wu Wen and Judy McDonald and Hwashin H. Shin,Environmental Pollution,Maternal exposure to air pollution and risk of autism in children: A systematic review and meta-analysis,3,,2020
orupc,['random'],[183],1,12,,,,,,
orlowb,['random'],[183],1,12,,,,,,
population,['smoking'],[182],1,26,Fr\'ed\'eric Dutheil and Aur\'elie Comptour and Roxane Morlon and Martial Mermillod and Bruno Pereira and Julien S. Baker and Morteza Charkhabi and Maëlys Clinchamps and Nicolas Bourdel,Environmental Pollution,Autism spectrum disorder and air pollution: A systematic review and meta-analysis,0,"1,2,3,4,6,",2021
palsy,['risk'],[180],1,21,Tono Djuwantono and Jenifer Kiem Aviani and Wiryawan Permadi and Tri Hanggono Achmad and Danny Halim,Journal of Neurodevelopmental Disorders,Risk of neurodevelopmental disorders in children born from different ART treatments: a systematic review and meta-analysis,4,,2020
results,['risk'],[178],1,21,Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,1,"2,4,6,",2019
increased,['risk'],[174],1,21,Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,1,"2,4,6,",2019
disability,['risk'],[168],1,21,Fr\'ed\'eric Dutheil and Aur\'elie Comptour and Roxane Morlon and Martial Mermillod and Bruno Pereira and Julien S. Baker and Morteza Charkhabi and Maëlys Clinchamps and Nicolas Bourdel,Environmental Pollution,Autism spectrum disorder and air pollution: A systematic review and meta-analysis,0,"4,",2021
