


































source,targets,weights,n_cites,cited_by,author,journal,title,cited_by_other_articles,year,topic_id
data,"['studies', 'exposure', 'use', 'reported', 'study', 'risk']","[200, 140, 100, 100, 90, 70]",5,"8,7,9,34,4",Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,,2019,0
association,"['studies', 'exposure', 'data', 'use', 'reported', 'children', 'study', 'ci', 'autism', 'risk']","[200, 140, 100, 100, 100, 90, 90, 90, 80, 70]",9,"8,7,10,9,0,34,15,13,4",Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,,2019,0
higher,"['risk', 'studies', 'palsy', 'transfer', 'supplemental', 'intellectual', 'table', 'study']","[187, 130, 100, 90, 80, 80, 70, 69]",6,"4,8,14,44,20,34",Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,1,2019,0
autism,"['studies', 'children', 'exposure', 'risk', 'reported', 'study', 'data', 'use', 'ci']","[182, 126, 112, 92, 88, 84, 80, 80, 72]",8,"8,0,7,4,9,34,10,15",Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,1,2019,0
palsy,"['risk', 'studies', 'transfer', 'supplemental', 'table']","[180, 110, 90, 80, 70]",3,"4,8,44",Tono Djuwantono and Jenifer Kiem Aviani and Wiryawan Permadi and Tri Hanggono Achmad and Danny Halim,Journal of Neurodevelopmental Disorders,Risk of neurodevelopmental disorders in children born from different ART treatments: a systematic review and meta-analysis,,2020,0
ci,"['studies', 'exposure', 'data', 'reported', 'use', 'study']","[180, 126, 90, 90, 90, 81]",5,"8,7,10,9,34",,,,,,0
embryo,"['risk', 'studies', 'palsy', 'higher', 'transfer', 'supplemental', 'intellectual', 'table']","[162, 99, 90, 90, 81, 72, 72, 63]",6,"4,8,14,12,44,20",Tono Djuwantono and Jenifer Kiem Aviani and Wiryawan Permadi and Tri Hanggono Achmad and Danny Halim,Journal of Neurodevelopmental Disorders,Risk of neurodevelopmental disorders in children born from different ART treatments: a systematic review and meta-analysis,,2020,0
disability,"['risk', 'studies', 'palsy', 'higher', 'embryo', 'transfer', 'intellectual', 'supplemental', 'table']","[162, 99, 90, 90, 81, 81, 72, 72, 63]",7,"4,8,14,12,16,20,44",Tono Djuwantono and Jenifer Kiem Aviani and Wiryawan Permadi and Tri Hanggono Achmad and Danny Halim,Journal of Neurodevelopmental Disorders,Risk of neurodevelopmental disorders in children born from different ART treatments: a systematic review and meta-analysis,,2020,0
body,"['children', 'risk', 'cerebral', 'studies']","[162, 108, 72, 66]",4,"0,4,6,8",Tono Djuwantono and Jenifer Kiem Aviani and Wiryawan Permadi and Tri Hanggono Achmad and Danny Halim,Journal of Neurodevelopmental Disorders,Risk of neurodevelopmental disorders in children born from different ART treatments: a systematic review and meta-analysis,,2020,0
pregnancy,"['studies', 'risk', 'reported', 'study']","[153, 96, 72, 72]",4,"8,4,9,34",Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,1,2019,0
intellectual,"['risk', 'studies', 'palsy', 'transfer', 'supplemental']","[144, 88, 80, 72, 64]",4,"4,8,14,44",Tono Djuwantono and Jenifer Kiem Aviani and Wiryawan Permadi and Tri Hanggono Achmad and Danny Halim,Journal of Neurodevelopmental Disorders,Risk of neurodevelopmental disorders in children born from different ART treatments: a systematic review and meta-analysis,,2020,0
bias,"['children', 'risk']","[135, 90]",2,"0,4",Tono Djuwantono and Jenifer Kiem Aviani and Wiryawan Permadi and Tri Hanggono Achmad and Danny Halim,Journal of Neurodevelopmental Disorders,Risk of neurodevelopmental disorders in children born from different ART treatments: a systematic review and meta-analysis,,2020,0
ahr,"['studies', 'antibiotic', 'asd', 'exposure']","[120, 120, 108, 84]",4,"8,1,2,7",,,,,,0
model,['studies'],[120],1,8,Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,,2019,0
performed,['studies'],[120],1,8,Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,,2019,0
including,['studies'],[111],1,8,Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,1,2019,0
icsi,"['risk', 'studies']","[108, 66]",2,"4,8",,,,,,1
frozen,"['risk', 'studies']","[108, 66]",2,"4,8",Tono Djuwantono and Jenifer Kiem Aviani and Wiryawan Permadi and Tri Hanggono Achmad and Danny Halim,Journal of Neurodevelopmental Disorders,Risk of neurodevelopmental disorders in children born from different ART treatments: a systematic review and meta-analysis,,2020,1
metaanalysis,"['studies', 'risk']","[102, 64]",2,"8,4",Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,1,2019,1
anytime,"['studies', 'asd', 'exposure']","[100, 90, 70]",3,"8,2,2007",Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,,2019,1
analysis,"['studies', 'antibiotic', 'asd', 'exposure']","[100, 100, 90, 70]",4,"8,1,2,7",Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,,2019,1
age,"['antibiotic', 'studies', 'asd', 'exposure']","[100, 100, 90, 70]",4,"1,8,2,7",Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,,2019,1
significant,['studies'],[91],1,8,Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,1,2019,1
findings,['risk'],[90],1,4,Tono Djuwantono and Jenifer Kiem Aviani and Wiryawan Permadi and Tri Hanggono Achmad and Danny Halim,Journal of Neurodevelopmental Disorders,Risk of neurodevelopmental disorders in children born from different ART treatments: a systematic review and meta-analysis,,2020,1
study,['use'],[90],0,,Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,1,2019,1
neurodevelopmental,['risk'],[90],1,4,Tono Djuwantono and Jenifer Kiem Aviani and Wiryawan Permadi and Tri Hanggono Achmad and Danny Halim,Journal of Neurodevelopmental Disorders,Risk of neurodevelopmental disorders in children born from different ART treatments: a systematic review and meta-analysis,,2020,1
acquiring,['children'],[81],1,0,Tono Djuwantono and Jenifer Kiem Aviani and Wiryawan Permadi and Tri Hanggono Achmad and Danny Halim,Journal of Neurodevelopmental Disorders,Risk of neurodevelopmental disorders in children born from different ART treatments: a systematic review and meta-analysis,,2020,1
births,['children'],[81],1,0,Tono Djuwantono and Jenifer Kiem Aviani and Wiryawan Permadi and Tri Hanggono Achmad and Danny Halim,Journal of Neurodevelopmental Disorders,Risk of neurodevelopmental disorders in children born from different ART treatments: a systematic review and meta-analysis,,2020,1
casecontrol,['children'],[81],1,0,Tono Djuwantono and Jenifer Kiem Aviani and Wiryawan Permadi and Tri Hanggono Achmad and Danny Halim,Journal of Neurodevelopmental Disorders,Risk of neurodevelopmental disorders in children born from different ART treatments: a systematic review and meta-analysis,,2020,1
antibiotics,"['studies', 'asd']","[80, 72]",2,"8,2",Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,,2019,1
diagnosis,['studies'],[80],1,8,Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,,2019,1
included,['studies'],[80],1,8,Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,,2019,1
number,"['studies', 'risk']","[73, 68]",2,"8,4",Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,1,2019,1
factors,"['studies', 'risk']","[73, 68]",2,"8,4",Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,1,2019,1
supplemental,['transfer'],[72],0,,,,,,,1
low,['risk'],[72],1,4,Tono Djuwantono and Jenifer Kiem Aviani and Wiryawan Permadi and Tri Hanggono Achmad and Danny Halim,Journal of Neurodevelopmental Disorders,Risk of neurodevelopmental disorders in children born from different ART treatments: a systematic review and meta-analysis,,2020,1
multiple,['risk'],[72],1,4,Tono Djuwantono and Jenifer Kiem Aviani and Wiryawan Permadi and Tri Hanggono Achmad and Danny Halim,Journal of Neurodevelopmental Disorders,Risk of neurodevelopmental disorders in children born from different ART treatments: a systematic review and meta-analysis,,2020,1
compared,['risk'],[72],1,4,Tono Djuwantono and Jenifer Kiem Aviani and Wiryawan Permadi and Tri Hanggono Achmad and Danny Halim,Journal of Neurodevelopmental Disorders,Risk of neurodevelopmental disorders in children born from different ART treatments: a systematic review and meta-analysis,,2020,1
ivf,['risk'],[72],1,4,,,,,,1
risks,['studies'],[66],1,8,Tono Djuwantono and Jenifer Kiem Aviani and Wiryawan Permadi and Tri Hanggono Achmad and Danny Halim,Journal of Neurodevelopmental Disorders,Risk of neurodevelopmental disorders in children born from different ART treatments: a systematic review and meta-analysis,,2020,1
assessment,['children'],[63],1,0,Tono Djuwantono and Jenifer Kiem Aviani and Wiryawan Permadi and Tri Hanggono Achmad and Danny Halim,Journal of Neurodevelopmental Disorders,Risk of neurodevelopmental disorders in children born from different ART treatments: a systematic review and meta-analysis,,2020,1
